time_s,PV,SV,kp,ti,td
0,22.8371,40,5.9,125,31
5,22.8371,40,5.9,125,31
10,22.8371,40,5.9,125,31
15,22.96007,40,5.9,125,31
20,23.20602,40,5.9,125,31
25,23.45197,40,5.9,125,31
30,23.82451,40,5.9,125,31
35,24.43938,40,5.9,125,31
40,25.0,40,5.9,125,31
45,25.79933,40,5.9,125,31
50,26.53718,40,5.9,125,31
55,27.28588,40,5.9,125,31
60,28.14308,40,5.9,125,31
65,28.88455,40,5.9,125,31
70,29.74899,40,5.9,125,31
75,30.49407,40,5.9,125,31
80,31.35489,40,5.9,125,31
85,32.15784,40,5.9,125,31
90,32.95718,40,5.9,125,31
95,33.60822,40,5.9,125,31
100,34.31713,40,5.9,125,31
105,34.932,40,5.9,125,31
110,35.55049,40,5.9,125,31
115,36.04239,40,5.9,125,31
120,36.43663,40,5.9,125,31
125,36.90683,40,5.9,125,31
130,37.27937,40,5.9,125,31
135,37.65915,40,5.9,125,31
140,38.14381,40,5.9,125,31
145,38.38976,40,5.9,125,31
150,38.63571,40,5.9,125,31
155,38.88166,40,5.9,125,31
160,39.13122,40,5.9,125,31
165,39.37717,40,5.9,125,31
170,39.62312,40,5.9,125,31
175,39.86907,40,5.9,125,31
180,40.01374,40,5.9,125,31
185,40.24161,40,5.9,125,31
190,40.43692,40,5.9,125,31
195,40.61053,40,5.9,125,31
200,40.73351,40,5.9,125,31
205,40.8601,40,5.9,125,31
210,41.00839,40,5.9,125,31
215,41.22902,40,5.9,125,31
220,41.352,40,5.9,125,31
225,41.47497,40,5.9,125,31
230,41.59795,40,5.9,125,31
235,41.71369,40,5.9,125,31
240,41.78241,40,5.9,125,31
245,41.84751,40,5.9,125,31
250,41.84751,40,5.9,125,31
255,41.97049,40,5.9,125,31
260,41.97049,40,5.9,125,31
265,41.97049,40,5.9,125,31
270,41.99942,40,5.9,125,31
275,42.09346,40,5.9,125,31
280,42.06453,40,5.9,125,31
285,42.09346,40,5.9,125,31
290,42.09346,40,5.9,125,31
295,42.09346,40,5.9,125,31
300,42.09346,40,5.9,125,31
305,42.09346,40,5.9,125,31
310,42.09346,40,5.9,125,31
315,42.09346,40,5.9,125,31
320,41.97049,40,5.9,125,31
326,41.97049,40,5.9,125,31
331,41.97049,40,5.9,125,31
336,41.84751,40,5.9,125,31
341,41.84751,40,5.9,125,31
346,41.73539,40,5.9,125,31
351,41.72092,40,5.9,125,31
356,41.59795,40,5.9,125,31
361,41.58348,40,5.9,125,31
366,41.47497,40,5.9,125,31
371,41.47497,40,5.9,125,31
376,41.56901,40,5.9,125,31
381,41.51114,40,5.9,125,31
386,41.47497,40,5.9,125,31
391,41.53284,40,5.9,125,31
396,41.59795,40,5.9,125,31
401,41.59795,40,5.9,125,31
406,41.67028,40,5.9,125,31
411,41.6739,40,5.9,125,31
416,41.59795,40,5.9,125,31
421,41.71369,40,5.9,125,31
426,41.72092,40,5.9,125,31
431,41.72092,40,5.9,125,31
436,41.71369,40,5.9,125,31
441,41.72092,40,5.9,125,31
446,41.72092,40,5.9,125,31
451,41.6956,40,5.9,125,31
456,41.59795,40,5.9,125,31
461,41.59795,40,5.9,125,31
466,41.59795,40,5.9,125,31
471,41.47497,40,5.9,125,31
476,41.47497,40,5.9,125,31
481,41.35561,40,5.9,125,31
486,41.352,40,5.9,125,31
491,41.22902,40,5.9,125,31
496,41.22902,40,5.9,125,31
501,41.10605,40,5.9,125,31
506,41.10605,40,5.9,125,31
511,41.10605,40,5.9,125,31
516,41.10605,40,5.9,125,31
521,40.98307,40,5.9,125,31
526,40.98307,40,5.9,125,31
531,40.98307,40,5.9,125,31
536,40.98307,40,5.9,125,31
541,40.98307,40,5.9,125,31
546,40.99031,40,5.9,125,31
551,40.98307,40,5.9,125,31
556,40.98307,40,5.9,125,31
561,40.98307,40,5.9,125,31
566,40.98307,40,5.9,125,31
571,40.98307,40,5.9,125,31
576,40.86372,40,5.9,125,31
581,40.8818,40,5.9,125,31
586,40.8601,40,5.9,125,31
591,40.8601,40,5.9,125,31
596,40.8601,40,5.9,125,31
601,40.8601,40,5.9,125,31
606,40.73351,40,5.9,125,31
611,40.73351,40,5.9,125,31
616,40.61053,40,5.9,125,31
621,40.61053,40,5.9,125,31
626,40.50564,40,5.9,125,31
