time_s,PV,SV,kp,ti,td
631,40.48756,40,5.9,125,31
636,40.44054,40,5.9,125,31
641,40.36459,40,5.9,125,31
646,40.36459,40,5.9,125,31
651,40.36459,40,5.9,125,31
656,40.24161,40,5.9,125,31
661,40.24161,40,5.9,125,31
666,40.24161,40,5.9,125,31
671,40.24161,40,5.9,125,31
676,40.23438,40,5.9,125,31
681,40.24161,40,5.9,125,31
686,40.21629,40,5.9,125,31
692,40.11863,40,5.9,125,31
697,40.11863,40,5.9,125,31
702,40.11863,40,5.9,125,31
707,40.11863,40,5.9,125,31
712,40.11863,40,5.9,125,31
717,40.24161,40,5.9,125,31
722,40.24161,40,5.9,125,31
727,40.24161,40,5.9,125,31
732,40.24161,40,5.9,125,31
737,40.24161,40,5.9,125,31
742,40.24161,40,5.9,125,31
747,40.24161,40,5.9,125,31
752,40.24161,40,5.9,125,31
757,40.17651,40,5.9,125,31
762,40.11863,40,5.9,125,31
767,40.11863,40,5.9,125,31
772,40.11863,40,5.9,125,31
777,40.11863,40,5.9,125,31
782,40.11863,40,5.9,125,31
787,40.11863,40,5.9,125,31
792,40.0029,40,5.9,125,31
797,39.99566,40,5.9,125,31
802,39.99566,40,5.9,125,31
807,39.99566,40,5.9,125,31
812,39.90162,40,5.9,125,31
817,39.92694,40,5.9,125,31
822,39.96672,40,5.9,125,31
827,39.86907,40,5.9,125,31
832,39.86907,40,5.9,125,31
837,39.86907,40,5.9,125,31
842,39.88715,40,5.9,125,31
847,39.98843,40,5.9,125,31
852,39.98843,40,5.9,125,31
857,39.99566,40,5.9,125,31
862,39.99566,40,5.9,125,31
867,39.99566,40,5.9,125,31
872,39.99566,40,5.9,125,31
877,39.91609,40,5.9,125,31
882,39.88715,40,5.9,125,31
887,39.8763,40,5.9,125,31
892,39.90162,40,5.9,125,31
897,39.94502,40,5.9,125,31
902,39.93417,40,5.9,125,31
907,39.99566,40,5.9,125,31
912,39.90162,40,5.9,125,31
917,39.86907,40,5.9,125,31
922,39.86907,40,5.9,125,31
927,39.87268,40,5.9,125,31
932,39.99566,40,5.9,125,31
937,39.90162,40,5.9,125,31
943,39.8763,40,5.9,125,31
948,39.99204,40,5.9,125,31
953,39.86907,40,5.9,125,31
958,39.86907,40,5.9,125,31
963,39.93417,40,5.9,125,31
968,39.98843,40,5.9,125,31
973,39.93055,40,5.9,125,31
978,39.98481,40,5.9,125,31
984,39.93055,40,5.9,125,31
989,39.99566,40,5.9,125,31
994,39.99566,40,5.9,125,31
999,39.99566,40,5.9,125,31
1004,39.99566,40,5.9,125,31
1009,39.99566,40,5.9,125,31
1014,39.99566,40,5.9,125,31
1019,39.99204,40,5.9,125,31
1024,39.99566,40,5.9,125,31
1029,39.99566,40,5.9,125,31
1034,39.99566,40,5.9,125,31
1039,39.99566,40,5.9,125,31
1044,39.99566,40,5.9,125,31
1049,39.99566,40,5.9,125,31
1054,39.99566,50,5.9,125,31
1059,40.0897,50,5.9,125,31
1064,40.04992,50,5.9,125,31
1069,40.11863,50,5.9,125,31
1074,40.19097,50,5.9,125,31
1079,40.24161,50,5.9,125,31
1084,40.48756,50,5.9,125,31
1089,40.61053,50,5.9,125,31
1094,40.8601,50,5.9,125,31
1099,41.22541,50,5.9,125,31
1104,41.47497,50,5.9,125,31
1109,41.84751,50,5.9,125,31
1114,42.09708,50,5.9,125,31
1119,42.21643,50,5.9,125,31
1124,42.21643,50,5.9,125,31
1129,42.21643,50,5.9,125,31
1134,42.21643,50,5.9,125,31
1139,43.94531,50,5.9,125,31
1144,44.19126,50,5.9,125,31
1149,44.56018,50,5.9,125,31
1155,44.80975,50,5.9,125,31
1160,45.0557,50,5.9,125,31
1165,45.30165,50,5.9,125,31
1170,45.55483,50,5.9,125,31
1175,45.82248,50,5.9,125,31
1180,46.1046,50,5.9,125,31
1185,46.41204,50,5.9,125,31
1190,46.61459,50,5.9,125,31
1195,46.78458,50,5.9,125,31
1200,47.03053,50,5.9,125,31
1205,47.27648,50,5.9,125,31
1210,47.46094,50,5.9,125,31
1215,47.64902,50,5.9,125,31
1220,47.89497,50,5.9,125,31
1225,48.01794,50,5.9,125,31
1230,48.26389,50,5.9,125,31
1235,48.33984,50,5.9,125,31
1240,48.51345,50,5.9,125,31
1245,48.58218,50,5.9,125,31
1250,48.63643,50,5.9,125,31
1255,48.70153,50,5.9,125,31
1260,48.7594,50,5.9,125,31
1265,48.88238,50,5.9,125,31
1270,48.88238,50,5.9,125,31
1275,48.88238,50,5.9,125,31
1280,48.91131,50,5.9,125,31
1285,49.00535,50,5.9,125,31
1290,49.00535,50,5.9,125,31
1295,49.03429,50,5.9,125,31
1300,49.12833,50,5.9,125,31
1305,49.12833,50,5.9,125,31
1310,49.12833,50,5.9,125,31
1315,49.2513,50,5.9,125,31
1320,49.2513,50,5.9,125,31
1325,49.2513,50,5.9,125,31
1330,49.28385,50,5.9,125,31
1335,49.3779,50,5.9,125,31
1340,49.3779,50,5.9,125,31
1345,49.49363,50,5.9,125,31
1350,49.50087,50,5.9,125,31
1355,49.5081,50,5.9,125,31
1360,49.62384,50,5.9,125,31
1365,49.74682,50,5.9,125,31
1370,49.74682,50,5.9,125,31
1375,49.7649,50,5.9,125,31
1380,49.86979,50,5.9,125,31
1385,49.86979,50,5.9,125,31
1390,49.86979,50,5.9,125,31
1395,49.99277,50,5.9,125,31
1400,49.87703,50,5.9,125,31
1405,49.86979,50,5.9,125,31
1410,49.84809,50,5.9,125,31
1415,49.74682,50,5.9,125,31
1420,49.77937,50,5.9,125,31
1425,49.74682,50,5.9,125,31
1430,49.74682,50,5.9,125,31
1435,49.71788,50,5.9,125,31
1440,49.63469,50,5.9,125,31
1445,49.62384,50,5.9,125,31
1450,49.62384,50,5.9,125,31
1455,49.62746,50,5.9,125,31
1460,49.74682,50,5.9,125,31
1465,49.74682,50,5.9,125,31
1470,49.74682,50,5.9,125,31
1475,49.74682,50,5.9,125,31
1480,49.74682,50,5.9,125,31
1485,49.74682,50,5.9,125,31
1490,49.74682,50,5.9,125,31
1495,49.78299,50,5.9,125,31
1500,49.84085,50,5.9,125,31
1505,49.86979,50,5.9,125,31
1510,49.99277,50,5.9,125,31
1515,49.99277,50,5.9,125,31
1520,50.0217,50,5.9,125,31
1525,50.11574,50,5.9,125,31
1530,50.23872,50,5.9,125,31
1536,50.23872,50,5.9,125,31
1541,50.23872,50,5.9,125,31
1546,50.3653,50,5.9,125,31
1551,50.3653,50,5.9,125,31
1556,50.3653,50,5.9,125,31
