"VarName","TimeString","VarValue","Validity","Time_ms"
"$RT_OFF$","12/8/2025 9:15:43 PM",0,2,45999885914.3287
"setpoint","12/8/2025 9:17:02 PM",100,1,45999886823.4954
"level","12/8/2025 9:17:02 PM",92.03559,1,45999886823.4954
"kp","12/8/2025 9:17:02 PM",4,1,45999886823.4954
"ti","12/8/2025 9:17:02 PM",0,1,45999886823.4954
"td","12/8/2025 9:17:02 PM",0,1,45999886823.4954
"setpoint","12/8/2025 9:17:07 PM",100,1,45999886881.713
"level","12/8/2025 9:17:07 PM",92.02474,1,45999886881.713
"kp","12/8/2025 9:17:07 PM",4,1,45999886881.713
"ti","12/8/2025 9:17:07 PM",0,1,45999886881.713
"td","12/8/2025 9:17:07 PM",0,1,45999886881.713
"setpoint","12/8/2025 9:17:12 PM",100,1,45999886944.838
"level","12/8/2025 9:17:12 PM",92.02474,1,45999886944.838
"kp","12/8/2025 9:17:12 PM",4,1,45999886944.838
"ti","12/8/2025 9:17:12 PM",0,1,45999886944.838
"td","12/8/2025 9:17:12 PM",0,1,45999886944.838
"setpoint","12/8/2025 9:17:17 PM",100,1,45999887007.9977
"level","12/8/2025 9:17:17 PM",92.02474,1,45999887007.9977
"kp","12/8/2025 9:17:17 PM",4,1,45999887007.9977
"ti","12/8/2025 9:17:17 PM",0,1,45999887007.9977
"td","12/8/2025 9:17:17 PM",0,1,45999887007.9977
"setpoint","12/8/2025 9:17:23 PM",100,1,45999887071.331
"level","12/8/2025 9:17:23 PM",92.02474,1,45999887071.331
"kp","12/8/2025 9:17:23 PM",4,1,45999887071.331
"ti","12/8/2025 9:17:23 PM",0,1,45999887071.331
"td","12/8/2025 9:17:23 PM",0,1,45999887071.331
"setpoint","12/8/2025 9:17:28 PM",100,1,45999887132.9514
"level","12/8/2025 9:17:28 PM",92.02474,1,45999887132.9514
"kp","12/8/2025 9:17:28 PM",4,1,45999887132.9514
"ti","12/8/2025 9:17:28 PM",0,1,45999887132.9514
"td","12/8/2025 9:17:28 PM",0,1,45999887132.9514
"setpoint","12/8/2025 9:17:33 PM",100,1,45999887191.088
"level","12/8/2025 9:17:33 PM",92.02474,1,45999887191.088
"kp","12/8/2025 9:17:33 PM",4,1,45999887191.088
"ti","12/8/2025 9:17:33 PM",0,1,45999887191.088
"td","12/8/2025 9:17:33 PM",0,1,45999887191.088
"setpoint","12/8/2025 9:17:38 PM",100,1,45999887249.294
"level","12/8/2025 9:17:38 PM",92.03559,1,45999887249.294
"kp","12/8/2025 9:17:38 PM",5,1,45999887249.294
"ti","12/8/2025 9:17:38 PM",0,1,45999887249.294
"td","12/8/2025 9:17:38 PM",0,1,45999887249.294
"setpoint","12/8/2025 9:17:43 PM",100,1,45999887307.4421
"level","12/8/2025 9:17:43 PM",94.39019,1,45999887307.4421
"kp","12/8/2025 9:17:43 PM",5,1,45999887307.4421
"ti","12/8/2025 9:17:43 PM",0,1,45999887307.4421
"td","12/8/2025 9:17:43 PM",0,1,45999887307.4421
"setpoint","12/8/2025 9:17:48 PM",100,1,45999887365.6134
"level","12/8/2025 9:17:48 PM",93.34853,1,45999887365.6134
"kp","12/8/2025 9:17:48 PM",5,1,45999887365.6134
"ti","12/8/2025 9:17:48 PM",0,1,45999887365.6134
"td","12/8/2025 9:17:48 PM",0,1,45999887365.6134
"setpoint","12/8/2025 9:17:53 PM",100,1,45999887423.7847
"level","12/8/2025 9:17:53 PM",93.46789,1,45999887423.7847
"kp","12/8/2025 9:17:53 PM",5,1,45999887423.7847
"ti","12/8/2025 9:17:53 PM",0,1,45999887423.7847
"td","12/8/2025 9:17:53 PM",0,1,45999887423.7847
"setpoint","12/8/2025 9:17:58 PM",100,1,45999887482.0023
"level","12/8/2025 9:17:58 PM",93.75,1,45999887482.0023
"kp","12/8/2025 9:17:58 PM",5,1,45999887482.0023
"ti","12/8/2025 9:17:58 PM",0,1,45999887482.0023
"td","12/8/2025 9:17:58 PM",0,1,45999887482.0023
"setpoint","12/8/2025 9:18:03 PM",100,1,45999887540.1736
"level","12/8/2025 9:18:03 PM",93.42448,1,45999887540.1736
"kp","12/8/2025 9:18:03 PM",6,1,45999887540.1736
"ti","12/8/2025 9:18:03 PM",0,1,45999887540.1736
"td","12/8/2025 9:18:03 PM",0,1,45999887540.1736
"setpoint","12/8/2025 9:18:08 PM",100,1,45999887598.3449
"level","12/8/2025 9:18:08 PM",95.33421,1,45999887598.3449
"kp","12/8/2025 9:18:08 PM",6,1,45999887598.3449
"ti","12/8/2025 9:18:08 PM",0,1,45999887598.3449
"td","12/8/2025 9:18:08 PM",0,1,45999887598.3449
"setpoint","12/8/2025 9:18:14 PM",100,1,45999887656.4931
"level","12/8/2025 9:18:14 PM",94.35764,1,45999887656.4931
"kp","12/8/2025 9:18:14 PM",6,1,45999887656.4931
"ti","12/8/2025 9:18:14 PM",0,1,45999887656.4931
"td","12/8/2025 9:18:14 PM",0,1,45999887656.4931
"setpoint","12/8/2025 9:18:19 PM",100,1,45999887714.6528
"level","12/8/2025 9:18:19 PM",94.50954,1,45999887714.6528
"kp","12/8/2025 9:18:19 PM",6,1,45999887714.6528
"ti","12/8/2025 9:18:19 PM",0,1,45999887714.6528
"td","12/8/2025 9:18:19 PM",0,1,45999887714.6528
"setpoint","12/8/2025 9:18:24 PM",100,1,45999887772.8588
"level","12/8/2025 9:18:24 PM",94.88932,1,45999887772.8588
"kp","12/8/2025 9:18:24 PM",6,1,45999887772.8588
"ti","12/8/2025 9:18:24 PM",0,1,45999887772.8588
"td","12/8/2025 9:18:24 PM",0,1,45999887772.8588
"setpoint","12/8/2025 9:18:29 PM",100,1,45999887830.9954
"level","12/8/2025 9:18:29 PM",94.28168,1,45999887830.9954
"kp","12/8/2025 9:18:29 PM",6,1,45999887830.9954
"ti","12/8/2025 9:18:29 PM",0,1,45999887830.9954
"td","12/8/2025 9:18:29 PM",0,1,45999887830.9954
"setpoint","12/8/2025 9:18:34 PM",100,1,45999887889.1319
"level","12/8/2025 9:18:34 PM",95.13889,1,45999887889.1319
"kp","12/8/2025 9:18:34 PM",7,1,45999887889.1319
"ti","12/8/2025 9:18:34 PM",0,1,45999887889.1319
"td","12/8/2025 9:18:34 PM",0,1,45999887889.1319
"setpoint","12/8/2025 9:18:39 PM",100,1,45999887947.2917
"level","12/8/2025 9:18:39 PM",95.75738,1,45999887947.2917
"kp","12/8/2025 9:18:39 PM",7,1,45999887947.2917
"ti","12/8/2025 9:18:39 PM",0,1,45999887947.2917
"td","12/8/2025 9:18:39 PM",0,1,45999887947.2917
"setpoint","12/8/2025 9:18:44 PM",100,1,45999888007.8472
"level","12/8/2025 9:18:44 PM",94.86762,1,45999888007.8472
"kp","12/8/2025 9:18:44 PM",7,1,45999888007.8472
"ti","12/8/2025 9:18:44 PM",0,1,45999888007.8472
"td","12/8/2025 9:18:44 PM",0,1,45999888007.8472
"setpoint","12/8/2025 9:18:49 PM",100,1,45999888066.007
"level","12/8/2025 9:18:49 PM",95.88759,1,45999888066.007
"kp","12/8/2025 9:18:49 PM",7,1,45999888066.007
"ti","12/8/2025 9:18:49 PM",0,1,45999888066.007
"td","12/8/2025 9:18:49 PM",0,1,45999888066.007
"setpoint","12/8/2025 9:18:54 PM",100,1,45999888124.1782
"level","12/8/2025 9:18:54 PM",94.88932,1,45999888124.1782
"kp","12/8/2025 9:18:54 PM",7,1,45999888124.1782
"ti","12/8/2025 9:18:54 PM",0,1,45999888124.1782
"td","12/8/2025 9:18:54 PM",0,1,45999888124.1782
"setpoint","12/8/2025 9:18:59 PM",100,1,45999888182.3843
"level","12/8/2025 9:18:59 PM",95.73567,1,45999888182.3843
"kp","12/8/2025 9:18:59 PM",7,1,45999888182.3843
"ti","12/8/2025 9:18:59 PM",0,1,45999888182.3843
"td","12/8/2025 9:18:59 PM",0,1,45999888182.3843
"setpoint","12/8/2025 9:19:04 PM",100,1,45999888240.544
"level","12/8/2025 9:19:04 PM",95.14973,1,45999888240.544
"kp","12/8/2025 9:19:04 PM",7,1,45999888240.544
"ti","12/8/2025 9:19:04 PM",0,1,45999888240.544
"td","12/8/2025 9:19:04 PM",0,1,45999888240.544
"setpoint","12/8/2025 9:19:09 PM",100,1,45999888302.2917
"level","12/8/2025 9:19:09 PM",95.42101,1,45999888302.2917
"kp","12/8/2025 9:19:09 PM",7,1,45999888302.2917
"ti","12/8/2025 9:19:09 PM",0,1,45999888302.2917
"td","12/8/2025 9:19:09 PM",0,1,45999888302.2917
"setpoint","12/8/2025 9:19:15 PM",100,1,45999888365.3125
"level","12/8/2025 9:19:15 PM",95.21484,1,45999888365.3125
"kp","12/8/2025 9:19:15 PM",7,1,45999888365.3125
"ti","12/8/2025 9:19:15 PM",0,1,45999888365.3125
"td","12/8/2025 9:19:15 PM",0,1,45999888365.3125
"setpoint","12/8/2025 9:19:20 PM",100,1,45999888423.5185
"level","12/8/2025 9:19:20 PM",95.36675,1,45999888423.5185
"kp","12/8/2025 9:19:20 PM",7,1,45999888423.5185
"ti","12/8/2025 9:19:20 PM",0,1,45999888423.5185
"td","12/8/2025 9:19:20 PM",0,1,45999888423.5185
"setpoint","12/8/2025 9:19:25 PM",100,1,45999888481.6782
"level","12/8/2025 9:19:25 PM",95.49696,1,45999888481.6782
"kp","12/8/2025 9:19:25 PM",7,1,45999888481.6782
"ti","12/8/2025 9:19:25 PM",0,1,45999888481.6782
"td","12/8/2025 9:19:25 PM",0,1,45999888481.6782
"setpoint","12/8/2025 9:19:30 PM",100,1,45999888539.8958
"level","12/8/2025 9:19:30 PM",95.12804,1,45999888539.8958
"kp","12/8/2025 9:19:30 PM",7,1,45999888539.8958
"ti","12/8/2025 9:19:30 PM",0,1,45999888539.8958
"td","12/8/2025 9:19:30 PM",0,1,45999888539.8958
"setpoint","12/8/2025 9:19:35 PM",100,1,45999888598.0671
"level","12/8/2025 9:19:35 PM",95.64887,1,45999888598.0671
"kp","12/8/2025 9:19:35 PM",7,1,45999888598.0671
"ti","12/8/2025 9:19:35 PM",0,1,45999888598.0671
"td","12/8/2025 9:19:35 PM",0,1,45999888598.0671
"setpoint","12/8/2025 9:19:40 PM",100,1,45999888656.2269
"level","12/8/2025 9:19:40 PM",95.06293,1,45999888656.2269
"kp","12/8/2025 9:19:40 PM",7,1,45999888656.2269
"ti","12/8/2025 9:19:40 PM",0,1,45999888656.2269
"td","12/8/2025 9:19:40 PM",0,1,45999888656.2269
"setpoint","12/8/2025 9:19:45 PM",100,1,45999888714.4444
"level","12/8/2025 9:19:45 PM",95.63802,1,45999888714.4444
"kp","12/8/2025 9:19:45 PM",7.2,1,45999888714.4444
"ti","12/8/2025 9:19:45 PM",0,1,45999888714.4444
"td","12/8/2025 9:19:45 PM",0,1,45999888714.4444
"setpoint","12/8/2025 9:19:50 PM",100,1,45999888772.662
"level","12/8/2025 9:19:50 PM",95.32335,1,45999888772.662
"kp","12/8/2025 9:19:50 PM",7.2,1,45999888772.662
"ti","12/8/2025 9:19:50 PM",0,1,45999888772.662
"td","12/8/2025 9:19:50 PM",0,1,45999888772.662
