time,pv,sp
0.0,189,450
1.004,184,450
2.013,178,450
3.0,174,450
3.986,169,450
5.008,164,450
5.999,160,450
6.998,155,450
7.997,150,450
8.995,145,450
10.009,140,450
11.015,135,450
12.001,129,450
12.991,125,450
13.986,120,450
14.989,114,450
15.994,109,450
17.015,104,450
18.016,99,450
19.017,94,450
20.015,92,450
20.993,86,450
22.01,81,450
23.011,79,450
24.01,73,450
24.992,68,450
26.002,65,450
27.012,60,450
27.997,56,450
28.995,53,450
29.994,48,450
30.993,44,450
32.012,38,450
32.995,35,450
34.012,29,450
34.99,25,450
36.006,22,450
37.005,19,450
37.99,13,450
39.006,6,450
39.991,3,450
41.007,3,450
42.008,0,450
43.009,-10,450
43.992,-14,450
45.008,-15,450
45.991,-17,450
47.008,-16,450
47.993,-17,450
49.007,-17,450
49.987,-16,450
50.987,-14,450
52.003,-12,450
52.989,-9,450
54.002,-6,450
55.017,-1,450
55.999,4,450
57.015,10,450
57.99,14,450
59.004,18,450
59.998,23,450
61.011,29,450
61.996,36,450
63.011,43,450
63.993,47,450
64.988,53,450
65.988,60,450
67.002,67,450
67.987,73,450
69.006,79,450
69.991,86,450
71.003,90,450
72.006,95,450
72.989,102,450
73.992,109,450
75.01,115,450
75.997,122,450
77.0,125,450
78.002,130,450
79.0,136,450
80.01,140,450
80.993,146,450
82.008,152,450
82.992,155,450
83.994,162,450
85.01,165,450
85.987,171,450
87.01,175,450
88.01,180,450
88.992,184,450
90.011,187,450
90.994,193,450
92.011,197,450
92.995,202,450
94.01,206,450
95.003,212,450
95.987,217,450
97.003,220,450
98.007,224,450
98.99,228,450
100.005,234,450
101.008,237,450
102.01,242,450
103.01,246,450
104.015,253,450
105.004,257,450
106.007,262,450
107.008,265,450
107.992,271,450
109.009,276,450
110.004,281,450
111.006,287,450
111.991,292,450
112.992,295,450
113.995,301,450
115.012,307,450
115.996,312,450
117.0,317,450
118.004,323,450
119.0,328,450
119.996,333,450
120.997,338,450
122.013,343,450
123.016,348,450
123.999,353,450
125.01,358,450
126.007,362,450
127.018,366,450
128.0,370,450
129.016,374,450
